"Term","Term Description","Session","Class","Subject","Catalog Nbr","Section","Class Nbr","Component","Description","Academic Organization","Location Code","Instruction Mode","Enrollment Total","Enrollment Capacity","Wait List Total","List of Students"
"2268","Fall 2026","1","CASAK 312E AK","CASAK","312E","AK","3092","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 313E AK","CASAK","313E","AK","3093","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 314E AK","CASAK","314E","AK","3094","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 315E AK","CASAK","315E","AK","3095","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 316E AK","CASAK","316E","AK","7525","IND","International Course","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 400E AK","CASAK","400E","AK","18430","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 410E AK","CASAK","410E","AK","3096","IND","International Course","SAB","NEWZEALAND","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAK 420E AK","CASAK","420E","AK","18431","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 430E AK","CASAK","430E","AK","18432","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 440E AK","CASAK","440E","AK","3097","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 450E AK","CASAK","450E","AK","3098","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 460E AK","CASAK","460E","AK","3099","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 470E AK","CASAK","470E","AK","18433","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAK 480E AK","CASAK","480E","AK","18434","IND","INTERNATNL CRSE","SAB","NEWZEALAND","P","0","20","0","List of Students"
"2268","Fall 2026","1","CASAL 981 A1","CASAL","981","A1","11047","OTH","Cert Study FT","CASLX","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAL 983 A1","CASAL","983","A1","11048","OTH","Continuing Study Part-Time","CASLX","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAL 985 A1","CASAL","985","A1","11049","OTH","Continuing Study Full-Time","CASLX","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAM 220 A1","CASAM","220","A1","3100","IND","Native American Studies","CASAM","CHARLESRIV","P","20","20","0","List of Students"
"2268","Fall 2026","1","CASAM 301 A1","CASAM","301","A1","17683","IND","Perspectives on American Exp","CASAM","CHARLESRIV","P","15","15","0","List of Students"
"2268","Fall 2026","1","CASAM 367 A1","CASAM","367","A1","3101","IND","Material Culture","CASAM","CHARLESRIV","P","4","8","0","List of Students"
"2268","Fall 2026","1","CASAM 385 A1","CASAM","385","A1","16521","IND","American Buildings & Landscape","CASAM","CHARLESRIV","P","3","5","1","List of Students"
"2268","Fall 2026","1","CASAM 453 A1","CASAM","453","A1","17661","IND","Native American/Indig Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 501 B1","CASAM","501","B1","16574","IND","Research Sem American Studies","CASAM","CHARLESRIV","P","5","15","0","List of Students"
"2268","Fall 2026","1","CASAM 546 A1","CASAM","546","A1","3103","IND","Historic Preservation Theory","CASAM","CHARLESRIV","P","5","9","0","List of Students"
"2268","Fall 2026","1","CASAM 548 A1","CASAM","548","A1","16575","IND","Global Heritage Conservation","CASAM","CHARLESRIV","P","3","7","0","List of Students"
"2268","Fall 2026","1","CASAM 555 A1","CASAM","555","A1","6876","IND","Boston Architectural Workshop","CASAM","CHARLESRIV","P","7","9","0","List of Students"
"2268","Fall 2026","1","CASAM 775 A1","CASAM","775","A1","18066","IND","Research Project Colloquium","CASAM","CHARLESRIV","P","5","10","0","List of Students"
"2268","Fall 2026","1","CASAM 867 A1","CASAM","867","A1","16129","IND","Material Culture","CASAM","CHARLESRIV","P","2","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 A1","CASAM","901","A1","11052","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","1","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 B1","CASAM","901","B1","11053","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","1","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 C1","CASAM","901","C1","11054","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","1","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 D1","CASAM","901","D1","11055","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 E1","CASAM","901","E1","11056","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 F1","CASAM","901","F1","11057","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 G1","CASAM","901","G1","11058","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 H1","CASAM","901","H1","11059","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 I1","CASAM","901","I1","12012","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 901 J1","CASAM","901","J1","12013","DRS","DS: New England Studies","CASAM","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAM 981 X1","CASAM","981","X1","11060","OTH","Continuing Study Full-Time","CASAM","CHARLESRIV","P","0","999","0","List of Students"
"2268","Fall 2026","1","CASAM 983 X1","CASAM","983","X1","11061","OTH","Continuing Study Part-Time","CASAM","CHARLESRIV","P","1","999","0","List of Students"
"2268","Fall 2026","1","CASAM 985 X1","CASAM","985","X1","11062","OTH","Continuing Study Full-Time","CASAM","CHARLESRIV","P","18","999","0","List of Students"
"2268","Fall 2026","1","CASAN 101 A1","CASAN","101","A1","3104","LEC","Sociocultural Anthropology","CASAN","CHARLESRIV","P","175","175","0","List of Students"
"2268","Fall 2026","1","CASAN 101 B1","CASAN","101","B1","7170","DIS","Sociocultural Anthropology","CASAN","CHARLESRIV","P","25","25","0","List of Students"
"2268","Fall 2026","1","CASAN 101 B2","CASAN","101","B2","3105","DIS","Sociocultural Anthropology","CASAN","CHARLESRIV","P","24","25","0","List of Students"
"2268","Fall 2026","1","CASAN 101 B3","CASAN","101","B3","3106","DIS","Sociocultural Anthropology","CASAN","CHARLESRIV","P","25","25","0","List of Students"
"2268","Fall 2026","1","CASAN 101 B4","CASAN","101","B4","3107","DIS","Sociocultural Anthropology","CASAN","CHARLESRIV","P","25","25","0","List of Students"
"2268","Fall 2026","1","CASAN 101 B5","CASAN","101","B5","3108","DIS","Sociocultural Anthropology","CASAN","CHARLESRIV","P","25","25","0","List of Students"
